Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Car_Model,Car_Price,Loan_Status
Female,No,0,Graduate,No,46188,34716,1559165,300,0,Urban,Coupe,2707087,N
Female,No,1,Graduate,Yes,15845,25521,1605797,300,1,Semiurban,Truck,2857592,N
Female,No,2,Graduate,Yes,96698,30049,1325963,240,1,Semiurban,Convertible,3763647,Y
Female,Yes,3+,Graduate,Yes,46674,5618,1076515,180,0,Semiurban,Sedan,3517253,N
Female,Yes,1,Graduate,No,29337,37004,2862460,60,1,Semiurban,Convertible,1458101,N
Female,Yes,3+,Graduate,No,32313,1920,593078,300,1,Semiurban,Coupe,1196314,Y
Male,Yes,2,Graduate,Yes,36943,43937,2550053,60,1,Rural,Sedan,569519,N
Male,No,0,Not Graduate,Yes,87949,4188,1327679,300,1,Semiurban,SUV,1211475,Y
Female,Yes,2,Graduate,Yes,10276,12207,1259401,120,1,Rural,Sedan,1460655,Y
Female,No,1,Graduate,No,61151,238,2485681,60,1,Urban,Van,3902315,Y
Female,Yes,0,Not Graduate,Yes,27611,32972,2560046,120,0,Semiurban,Hatchback,1696688,N
Male,No,1,Graduate,Yes,21944,10799,2319231,60,1,Urban,Van,2641924,N
Female,No,1,Graduate,No,62887,5552,1426921,180,0,Semiurban,Truck,2719583,N
Male,Yes,2,Not Graduate,No,91442,28916,2049317,240,0,Rural,Sedan,3479674,N
Male,Yes,1,Graduate,No,59847,4927,568207,360,1,Rural,SUV,2792056,Y
Male,Yes,2,Graduate,Yes,68653,27964,2931351,360,1,Rural,Convertible,658988,N
Male,Yes,0,Graduate,No,96072,11164,1388698,360,0,Urban,Sedan,3428455,N
Male,No,2,Not Graduate,No,66622,37158,2708578,120,0,Semiurban,Van,3111895,N
Female,Yes,0,Graduate,Yes,37810,19071,2059657,300,1,Urban,Sedan,2361380,Y
Female,Yes,2,Graduate,No,87842,48409,2731946,360,1,Rural,Sedan,2527787,N
Female,No,3+,Not Graduate,Yes,20503,6160,2243967,180,1,Urban,Sedan,539080,N
Female,Yes,3+,Graduate,Yes,94761,15810,1045726,360,1,Rural,SUV,606242,Y
Female,Yes,1,Not Graduate,No,46976,5126,2641008,60,1,Rural,Coupe,1329154,N
Male,Yes,2,Not Graduate,No,21590,30009,942244,120,1,Rural,Coupe,3111232,Y
Female,Yes,2,Graduate,No,20886,33584,1336309,60,1,Semiurban,Sedan,3674776,Y
Female,Yes,0,Not Graduate,No,22866,46182,990999,60,1,Semiurban,SUV,2158069,Y
Male,No,1,Not Graduate,No,76624,25396,1117762,60,1,Rural,SUV,1427281,Y
Female,Yes,2,Graduate,No,78899,192,2506549,240,1,Urban,Truck,3962583,N
Male,Yes,1,Not Graduate,Yes,42792,36413,2942432,240,1,Urban,Sedan,667403,N
Female,Yes,3+,Not Graduate,Yes,19764,12816,2288053,300,1,Semiurban,Van,756392,N
Male,Yes,2,Graduate,No,96156,39082,907407,120,1,Rural,Van,520968,Y
Female,Yes,2,Graduate,Yes,52727,32130,1371158,180,1,Urban,Hatchback,3880145,Y
Female,No,1,Graduate,No,88471,40142,1803306,180,1,Rural,Sedan,2084156,Y
Male,Yes,2,Not Graduate,Yes,18068,36468,1795308,180,0,Urban,Hatchback,3373382,N
Male,No,1,Graduate,Yes,17295,30698,920602,60,1,Semiurban,Van,3555450,Y
Male,No,2,Not Graduate,Yes,51160,10655,2127650,240,1,Rural,Van,1890179,Y
Male,Yes,0,Not Graduate,No,21390,47897,2873000,120,1,Rural,Sedan,3433776,N
Male,Yes,1,Not Graduate,Yes,30131,30075,556635,60,0,Urban,Hatchback,2157057,N
Male,Yes,2,Not Graduate,No,85969,9359,1901430,240,1,Urban,Hatchback,3190605,Y
Male,Yes,3+,Not Graduate,Yes,25038,36661,2843136,240,1,Urban,Sedan,1354082,N
Male,No,2,Not Graduate,Yes,62327,39579,1873713,360,1,Rural,Truck,2041773,Y
Female,Yes,3+,Not Graduate,Yes,87064,42056,1661328,360,1,Semiurban,Hatchback,1246470,Y
Female,Yes,3+,Graduate,Yes,31281,33272,728584,120,1,Semiurban,Truck,2432893,Y
Male,Yes,0,Graduate,Yes,64189,42581,2730038,120,1,Urban,Convertible,653329,N
Female,Yes,1,Not Graduate,No,58511,14671,1627113,120,1,Semiurban,Van,1649164,Y
Female,Yes,2,Not Graduate,No,18605,27048,2220444,60,1,Urban,Coupe,3374262,N
Female,Yes,0,Graduate,Yes,11381,10738,585166,300,1,Semiurban,Truck,2072762,Y
Female,No,2,Not Graduate,Yes,76634,25963,2973006,120,1,Rural,Truck,2418517,N
Male,No,3+,Graduate,Yes,29810,43954,2905631,360,0,Urban,Truck,2295209,N
Female,Yes,1,Graduate,Yes,34322,6773,1364285,300,1,Semiurban,SUV,3959544,Y
Male,Yes,2,Graduate,No,51869,36584,797883,60,0,Rural,Hatchback,3577964,N
Female,Yes,2,Not Graduate,Yes,42955,29894,663052,300,1,Semiurban,Hatchback,3330095,Y
Female,No,3+,Not Graduate,No,71388,717,1256079,180,1,Rural,SUV,2061128,Y
Female,Yes,2,Graduate,Yes,20207,11676,2420024,300,1,Rural,Hatchback,3929985,N
Male,No,2,Graduate,No,97329,4434,1943401,120,0,Semiurban,SUV,1811414,N
Female,Yes,3+,Graduate,Yes,77628,49810,2663405,60,1,Semiurban,Truck,515588,N
Male,Yes,0,Graduate,Yes,38220,37825,1115416,120,1,Rural,Sedan,3314268,Y
Female,Yes,3+,Graduate,No,94050,29100,2758233,360,1,Rural,Convertible,957301,N
Male,Yes,0,Not Graduate,Yes,84085,4994,1686430,180,1,Rural,Truck,3363871,Y
Female,No,1,Graduate,Yes,32031,4234,2412162,360,1,Urban,Convertible,2842608,Y
Male,No,0,Not Graduate,Yes,80721,3764,2279810,120,1,Rural,Van,3710101,Y
Male,Yes,0,Graduate,No,90807,43949,1660714,120,1,Urban,Truck,1030992,Y
Female,Yes,1,Not Graduate,Yes,81312,37405,812916,120,1,Rural,Coupe,1588712,Y
Male,No,0,Not Graduate,Yes,69766,34872,540149,240,1,Urban,Hatchback,547361,Y
Female,No,3+,Not Graduate,No,22449,42215,848844,180,1,Rural,Coupe,3442431,Y
Female,No,0,Not Graduate,No,99833,23185,628447,120,1,Rural,Sedan,2739665,Y
Female,No,1,Not Graduate,No,66699,43442,1554271,120,1,Rural,Convertible,514677,Y
Female,Yes,3+,Not Graduate,Yes,91253,41153,2112033,360,1,Semiurban,Truck,3909740,Y
Female,No,1,Graduate,Yes,56092,11999,1180913,360,1,Semiurban,Sedan,2156455,Y
Female,Yes,1,Not Graduate,Yes,73671,36487,1914474,120,0,Rural,Sedan,2458970,N
Female,No,2,Graduate,No,20350,2581,853039,60,0,Urban,Hatchback,1877984,N
Female,No,2,Not Graduate,Yes,78487,2763,1861425,240,0,Urban,Sedan,2146032,N
Female,No,1,Not Graduate,Yes,27622,27374,2790146,360,1,Rural,Truck,2215979,N
Female,No,1,Graduate,No,80263,38759,1926420,60,1,Semiurban,Truck,2669091,Y
Female,No,1,Not Graduate,No,63117,10531,1550457,240,1,Urban,Convertible,3923604,Y
Male,Yes,2,Graduate,No,68394,25307,2505647,120,1,Semiurban,Truck,2390252,N
Male,Yes,2,Graduate,No,33782,30835,2906661,180,1,Urban,Coupe,3008894,N
Female,No,0,Graduate,No,38454,11064,2069720,300,1,Rural,Convertible,2344348,Y
Female,No,0,Graduate,Yes,77904,11312,1627787,300,0,Semiurban,Hatchback,1259848,N
Female,Yes,1,Not Graduate,No,25592,37548,1487626,120,0,Urban,Convertible,3405978,N
Female,No,3+,Not Graduate,Yes,32173,36945,1440335,360,1,Rural,SUV,1909277,Y
Female,No,3+,Graduate,Yes,43204,47937,2435657,60,1,Rural,Coupe,1683750,Y
Female,Yes,2,Not Graduate,No,45596,6476,2482539,180,1,Rural,SUV,3092214,Y
Female,No,2,Not Graduate,No,44324,24565,1459820,240,1,Semiurban,SUV,2092023,Y
Female,No,2,Graduate,No,71202,2382,1219846,120,1,Semiurban,Van,622366,Y
Male,Yes,1,Not Graduate,Yes,99400,49683,2209813,180,1,Rural,Truck,2793316,Y
Female,Yes,3+,Graduate,No,40750,22463,1588129,180,1,Semiurban,Hatchback,1292644,Y
Male,Yes,0,Graduate,No,86112,45276,2055929,360,1,Urban,Sedan,2039152,Y
Female,No,1,Not Graduate,No,26566,33402,1409210,240,1,Rural,SUV,1323837,Y
Female,Yes,0,Not Graduate,No,17190,26345,2452026,180,1,Rural,Convertible,892776,N
Male,Yes,0,Not Graduate,No,98607,44764,532766,360,1,Semiurban,Sedan,1887781,Y
Female,Yes,1,Graduate,Yes,48333,26946,2546023,60,0,Rural,Convertible,856440,N
Male,Yes,0,Graduate,Yes,90905,14162,1055710,360,1,Urban,Convertible,1341618,Y
Female,Yes,3+,Not Graduate,Yes,99571,49154,2594966,60,1,Semiurban,Sedan,1461743,N
Female,Yes,0,Not Graduate,No,11589,46773,774349,60,1,Semiurban,Sedan,2296929,Y
Male,No,3+,Not Graduate,No,35235,8397,979806,180,1,Rural,Truck,1034820,Y
Female,No,3+,Not Graduate,No,10159,22335,2315419,360,0,Rural,Convertible,2807278,N
Male,Yes,3+,Graduate,Yes,22145,45095,1960235,60,1,Rural,Hatchback,1489516,N
Female,Yes,2,Not Graduate,No,90909,14394,1958316,240,1,Semiurban,Truck,1535340,Y
Male,Yes,0,Graduate,No,41921,27197,1927197,180,1,Rural,Coupe,3862079,Y
Male,No,1,Graduate,No,26237,22010,1576778,360,0,Urban,Van,3974412,N
Female,No,1,Not Graduate,Yes,18244,24123,939358,360,1,Rural,Coupe,603021,Y
Female,No,0,Not Graduate,No,24743,22387,1237744,300,1,Rural,Hatchback,3386855,Y
Male,No,2,Not Graduate,Yes,56101,2890,2618007,360,1,Semiurban,Truck,2511562,N
Female,No,2,Graduate,No,94227,27769,811385,180,1,Rural,Van,500209,Y
Female,No,3+,Not Graduate,Yes,66378,43626,2820220,240,1,Semiurban,Truck,722071,N
Female,No,0,Not Graduate,Yes,81126,8026,2563534,360,1,Rural,Sedan,3629497,N
Male,No,0,Graduate,Yes,66071,3306,2953579,300,1,Urban,Van,3403561,N
Male,No,1,Not Graduate,No,81121,33665,1433476,180,0,Urban,Convertible,1753790,N
Male,Yes,0,Graduate,No,84763,9277,2720957,60,1,Semiurban,Coupe,1658496,N
Male,Yes,2,Not Graduate,Yes,22237,42239,2428854,120,1,Semiurban,Van,2958884,N
Male,Yes,0,Graduate,Yes,25649,47664,1309359,120,1,Rural,Convertible,1879404,Y
Male,Yes,1,Not Graduate,No,47713,48008,2712809,60,1,Rural,Truck,1778720,N
Male,No,3+,Not Graduate,No,83463,14683,2701580,360,1,Urban,Hatchback,3507446,N
Male,No,1,Graduate,Yes,55409,670,2719187,120,1,Rural,Van,3913479,N
Male,Yes,1,Graduate,No,58766,23675,1994139,120,1,Urban,Convertible,716194,Y
Female,No,3+,Not Graduate,No,56154,17889,1779356,60,1,Semiurban,Truck,2954082,Y
Male,Yes,1,Graduate,No,17016,44535,2290146,360,1,Rural,Truck,2985702,N
Female,No,1,Graduate,No,89563,13006,569518,360,1,Semiurban,Truck,2780163,Y
Female,Yes,0,Graduate,Yes,58688,48536,676355,60,1,Rural,Hatchback,3271106,Y
Female,No,0,Graduate,No,99678,26531,2416334,360,1,Urban,Sedan,507399,Y
Male,No,3+,Not Graduate,No,64238,21639,620243,360,1,Semiurban,Hatchback,2062818,Y
Male,Yes,0,Not Graduate,Yes,68608,16633,1507378,180,0,Semiurban,Hatchback,1442621,N
Male,No,0,Graduate,Yes,99081,34660,2347756,180,0,Rural,Coupe,2695814,N
Male,Yes,1,Graduate,No,41897,3439,2993460,60,1,Semiurban,Truck,3941489,N
Female,Yes,2,Graduate,No,60961,32172,2619844,240,1,Urban,Convertible,1162858,N
Male,Yes,0,Graduate,No,78703,35622,2197818,120,1,Semiurban,Van,2437834,Y
Male,Yes,2,Not Graduate,No,54757,11577,2989331,180,0,Semiurban,Coupe,1272592,N
Male,No,0,Not Graduate,Yes,36917,11763,2818620,120,1,Rural,Truck,3513435,N
Male,No,0,Graduate,Yes,32736,20176,2677304,300,1,Semiurban,SUV,2970373,N
Male,No,3+,Graduate,Yes,37990,44386,2601121,60,1,Rural,Hatchback,1534023,N
Female,Yes,3+,Graduate,No,72551,24255,1584309,240,0,Rural,SUV,1296060,N
Male,No,3+,Not Graduate,No,68161,41003,2929151,300,1,Semiurban,Truck,893545,N
Female,Yes,2,Graduate,No,89623,19996,541743,300,1,Urban,Coupe,800763,Y
Male,No,1,Not Graduate,No,32440,35386,2203057,360,1,Rural,Convertible,1555608,Y
Female,No,0,Graduate,Yes,45205,21062,670948,300,1,Semiurban,Coupe,3945906,Y
Male,No,0,Not Graduate,Yes,90811,35931,1393877,60,1,Rural,Convertible,3224098,Y
Male,Yes,0,Graduate,No,65103,35710,2617475,180,1,Urban,Convertible,1407555,N
Female,No,2,Not Graduate,Yes,80812,34693,1827148,60,1,Urban,Truck,2064458,Y
Female,No,3+,Graduate,No,51627,35740,1001793,180,1,Rural,Sedan,2421166,Y
Female,Yes,1,Graduate,No,29008,11705,826284,300,1,Urban,Truck,2166984,Y
Male,No,2,Graduate,Yes,81274,43408,2330314,300,1,Semiurban,Hatchback,547850,Y
Female,Yes,3+,Not Graduate,No,42402,28047,2418837,240,1,Semiurban,Coupe,2077586,Y
Male,No,2,Graduate,No,63384,10966,768508,180,1,Rural,Convertible,779916,Y
Male,Yes,1,Not Graduate,Yes,15793,17374,891011,300,1,Urban,Truck,848249,Y
Female,Yes,3+,Not Graduate,No,15571,11138,1977141,360,1,Semiurban,Truck,934895,N
Female,No,2,Graduate,No,26209,15935,2204627,120,1,Semiurban,Coupe,1486275,N
Male,Yes,1,Graduate,Yes,53148,45913,1282259,240,1,Semiurban,Coupe,504576,Y
Male,Yes,0,Graduate,No,12224,489,2168462,60,0,Rural,Convertible,1910124,N
Female,Yes,1,Not Graduate,Yes,58695,44516,2270403,240,1,Rural,Van,3032000,Y
Female,Yes,0,Graduate,No,42441,22260,676968,120,1,Semiurban,SUV,2114340,Y
Female,Yes,2,Not Graduate,Yes,49129,26069,2654214,180,1,Semiurban,Hatchback,3894020,N
Male,Yes,3+,Not Graduate,Yes,72368,19275,1235122,60,1,Urban,Hatchback,1972077,Y
Male,No,3+,Graduate,Yes,54760,36284,1776485,60,0,Urban,Van,1310586,N
Male,Yes,2,Graduate,No,33478,39178,1006995,180,0,Urban,Sedan,3925037,N
Male,Yes,3+,Graduate,Yes,81854,32821,2685454,240,1,Rural,Van,2611591,N
Male,No,3+,Graduate,Yes,95716,16999,2567790,300,1,Semiurban,Sedan,1928931,N
Male,No,0,Graduate,Yes,22180,38712,2572723,240,1,Rural,Sedan,3864851,N
Female,No,2,Graduate,Yes,25372,40172,1533224,120,1,Semiurban,Van,2099826,N
Male,No,1,Not Graduate,Yes,39796,33722,1065635,360,1,Urban,Hatchback,2520014,Y
Male,No,0,Not Graduate,No,68272,10625,1027409,300,1,Urban,SUV,3360597,Y
Male,No,2,Not Graduate,No,99963,1629,2680945,240,1,Urban,Hatchback,1848483,N
Female,No,0,Graduate,No,64040,10973,2101028,360,1,Urban,Truck,616189,Y
Male,Yes,1,Not Graduate,No,85357,6859,787635,360,0,Semiurban,Hatchback,1658866,N
Male,Yes,1,Not Graduate,No,81368,41609,1083510,180,1,Urban,Hatchback,1481598,Y
Female,No,2,Not Graduate,No,88356,43307,1028036,120,0,Semiurban,Van,1305896,N
Male,Yes,1,Not Graduate,No,26211,45450,2099417,120,1,Semiurban,Van,1459540,N
Male,Yes,0,Not Graduate,Yes,15842,36046,1084668,120,1,Rural,Truck,2721132,Y
Male,Yes,1,Graduate,No,73115,21839,2641483,300,1,Urban,Truck,2824173,N
Male,No,0,Graduate,Yes,76852,27216,1251393,60,1,Urban,Van,3285782,Y
Male,No,0,Not Graduate,Yes,55968,18945,2193481,300,1,Rural,Hatchback,3688027,Y
Female,Yes,1,Not Graduate,No,27508,6539,1325992,240,1,Semiurban,SUV,1241165,Y
Female,No,2,Not Graduate,Yes,32005,49522,1100198,360,0,Urban,Sedan,531541,N
Female,Yes,3+,Graduate,Yes,64575,33625,897891,360,1,Semiurban,Coupe,3981417,Y
Male,Yes,1,Graduate,Yes,90742,4886,1000201,60,1,Rural,Sedan,975759,Y
Male,Yes,0,Not Graduate,Yes,28971,45713,1541566,240,0,Semiurban,Truck,3344510,N
Male,Yes,0,Graduate,No,35599,7485,1544863,60,1,Urban,Truck,629188,Y
Female,No,1,Graduate,No,97592,31455,1558644,360,1,Semiurban,Sedan,708150,Y
Male,No,2,Not Graduate,No,76914,46448,1387198,300,1,Semiurban,Coupe,3073338,Y
Male,No,2,Graduate,No,77055,16767,2119282,120,0,Urban,Hatchback,2358777,N
Female,Yes,0,Graduate,No,97697,47165,2335295,360,0,Urban,SUV,2816225,N
Male,No,0,Not Graduate,No,15355,28453,1570913,180,0,Semiurban,SUV,980620,N
Female,Yes,2,Graduate,No,64120,10744,747667,120,1,Semiurban,Sedan,1044444,Y
Female,No,3+,Graduate,No,84619,37102,1156521,360,0,Rural,Coupe,1241196,N
Female,Yes,1,Not Graduate,No,48342,12226,1387099,300,1,Urban,Truck,1992273,Y
Male,Yes,0,Graduate,No,95992,27869,1900791,60,1,Semiurban,Convertible,1168795,Y
Male,Yes,0,Graduate,Yes,88860,22588,1917231,120,1,Urban,Hatchback,1225010,Y
Male,No,2,Not Graduate,No,12257,13440,2031181,300,1,Rural,Sedan,3298848,N
Male,No,1,Not Graduate,Yes,37364,31709,907974,240,0,Semiurban,SUV,2502215,N
Male,No,2,Not Graduate,Yes,34972,47788,633248,180,0,Semiurban,Truck,1622207,N
Male,No,1,Graduate,Yes,36654,22495,1651882,120,1,Semiurban,Van,1324341,Y
Male,Yes,1,Not Graduate,Yes,90769,37019,2761878,60,1,Urban,Van,3190927,N
Female,No,1,Graduate,No,91423,44948,1444131,240,1,Rural,Coupe,3536124,Y
Male,No,0,Not Graduate,Yes,39320,48908,2971321,300,0,Urban,Coupe,3082977,N
Female,Yes,3+,Graduate,No,30808,922,1200270,180,1,Semiurban,Sedan,809799,Y
Male,Yes,2,Not Graduate,No,62389,27526,590417,60,1,Rural,Convertible,927557,Y
Male,Yes,3+,Not Graduate,Yes,44773,7957,928638,300,1,Semiurban,SUV,2315599,Y
Male,No,2,Not Graduate,No,61168,48564,1560560,300,1,Semiurban,Sedan,3316694,Y
Female,Yes,1,Not Graduate,Yes,37747,33998,1637888,120,1,Urban,Convertible,3697514,Y
Female,Yes,0,Graduate,Yes,86396,43395,692458,120,0,Semiurban,Truck,2665456,N
Female,Yes,3+,Not Graduate,No,93692,24031,1024608,60,1,Rural,Coupe,865750,Y
Female,No,0,Not Graduate,No,67505,10006,2035963,360,1,Semiurban,Van,3823314,Y
Male,Yes,2,Graduate,Yes,95896,37701,2423782,360,1,Semiurban,Hatchback,2193802,Y
Female,No,0,Not Graduate,No,28135,47063,915105,300,1,Urban,Truck,984103,Y
Male,No,0,Graduate,No,57377,25939,1908791,120,0,Rural,Van,2652259,N
Male,Yes,3+,Not Graduate,No,33554,49145,1803659,180,1,Urban,SUV,3119210,Y
Female,Yes,1,Not Graduate,Yes,72491,20324,2476850,180,1,Semiurban,SUV,3890919,Y
Female,No,0,Not Graduate,Yes,65621,22867,2638929,300,1,Urban,Van,2205096,N
Female,Yes,1,Graduate,No,68283,203,546250,120,1,Urban,Truck,2947193,Y
Female,Yes,2,Not Graduate,No,95140,16544,1391372,60,1,Urban,Van,3718305,Y
Female,No,0,Not Graduate,No,26923,15899,1850850,60,1,Urban,Convertible,3336815,N
Female,No,3+,Not Graduate,No,57591,29063,975147,60,1,Semiurban,Sedan,3001214,Y
Female,Yes,2,Graduate,No,72261,25344,2253282,180,1,Semiurban,Coupe,760933,Y
Female,No,2,Graduate,Yes,64336,3748,2612368,120,1,Rural,Convertible,2177044,N
Male,Yes,3+,Not Graduate,No,84083,39486,2943445,120,1,Urban,Hatchback,2879220,N
Female,Yes,0,Graduate,Yes,70948,1093,1376336,180,1,Urban,Van,3266394,Y
Female,Yes,0,Not Graduate,No,43002,15228,2742433,60,1,Rural,Hatchback,2284210,N
Male,No,2,Not Graduate,Yes,90098,20884,1203803,60,0,Urban,Hatchback,1504059,N
Female,Yes,0,Not Graduate,No,83016,25183,2087893,300,0,Rural,Convertible,3646823,N
Male,Yes,1,Not Graduate,Yes,36672,16034,2009405,360,1,Semiurban,Coupe,2963501,Y
Male,Yes,3+,Not Graduate,No,14213,5710,1234803,240,1,Rural,Truck,2244919,Y
Female,No,1,Not Graduate,Yes,20293,42500,2785221,360,1,Urban,SUV,1528719,N
Male,No,0,Not Graduate,Yes,65860,19259,614456,120,1,Rural,Sedan,2086987,Y
Male,No,2,Graduate,Yes,72507,35959,1356841,120,0,Semiurban,SUV,3319127,N
Male,No,3+,Graduate,Yes,67134,33457,2979840,120,1,Urban,Coupe,3085561,N
Male,No,0,Graduate,Yes,12100,20143,1918060,360,1,Semiurban,SUV,1331710,N
Female,Yes,0,Graduate,Yes,71997,2103,533783,240,0,Semiurban,Van,2432919,N
Male,No,2,Graduate,No,38172,365,534152,300,0,Rural,Van,2556370,N
Female,No,2,Graduate,Yes,30132,46778,944718,360,1,Semiurban,Convertible,2649151,Y
Male,No,1,Graduate,No,28199,44535,2101956,240,1,Urban,Hatchback,2366161,N
Male,Yes,3+,Not Graduate,No,46609,16103,648725,60,1,Semiurban,Coupe,3926216,Y
Male,No,3+,Not Graduate,No,52965,32510,991215,60,1,Semiurban,Coupe,2303713,Y
Male,No,2,Not Graduate,No,18016,24476,2303500,120,0,Rural,SUV,2110520,N
Female,Yes,1,Not Graduate,No,49779,12742,2768693,180,0,Semiurban,Convertible,2798739,N
Female,No,3+,Graduate,Yes,41881,12391,1408017,120,1,Rural,SUV,2333451,Y
Male,Yes,2,Graduate,Yes,92594,36940,821898,180,1,Rural,SUV,763356,Y
Male,Yes,0,Not Graduate,Yes,34472,28901,1185338,240,0,Urban,Coupe,2737225,N
Female,Yes,3+,Not Graduate,No,61813,32001,2640321,60,1,Urban,SUV,1627360,N
Male,Yes,1,Graduate,Yes,46021,15623,554745,360,1,Urban,Hatchback,3482307,Y
Male,Yes,1,Not Graduate,Yes,64131,2378,2183032,180,1,Urban,SUV,843288,Y
Male,No,1,Not Graduate,Yes,34087,21372,1138273,240,1,Rural,Hatchback,2502507,Y
Female,Yes,0,Not Graduate,Yes,22828,44799,1538347,60,1,Semiurban,Coupe,3152808,N
Female,Yes,3+,Not Graduate,Yes,71610,38437,2260328,360,1,Urban,Convertible,1609736,Y
Female,No,3+,Graduate,No,11401,35503,2618219,180,1,Urban,Van,3278366,N
Male,Yes,0,Not Graduate,Yes,95179,30746,2648185,120,1,Urban,Hatchback,2870011,N
Male,No,3+,Not Graduate,No,25193,27923,545256,120,1,Semiurban,Convertible,1083072,Y
Female,No,0,Graduate,No,54864,9867,2836607,120,1,Urban,Convertible,2988489,N
Female,No,0,Graduate,No,30307,41258,1002264,240,1,Semiurban,Hatchback,1910364,Y
Female,Yes,0,Not Graduate,No,29611,33724,1439695,120,0,Rural,Coupe,3672525,N
Female,Yes,1,Graduate,No,53791,9306,2683955,300,1,Rural,Sedan,1858293,N
Male,Yes,3+,Not Graduate,Yes,21950,39391,1752390,60,1,Rural,Convertible,2411128,N
Female,No,0,Not Graduate,Yes,86240,14908,2715995,240,1,Semiurban,Convertible,1062193,N
Male,Yes,3+,Graduate,Yes,87403,27081,979809,360,0,Urban,Coupe,1439077,N
Female,Yes,1,Not Graduate,No,12745,37228,1761179,120,1,Urban,Coupe,1153939,N
Male,Yes,0,Not Graduate,Yes,65243,23386,2267413,60,1,Urban,SUV,2925358,Y
Female,No,2,Not Graduate,Yes,13866,46754,644282,180,1,Urban,Coupe,3951335,Y
Female,No,1,Not Graduate,No,42245,45406,2471277,120,1,Urban,Convertible,599596,Y
Female,Yes,2,Graduate,No,54724,28302,2317793,60,1,Semiurban,Hatchback,3478602,Y
Female,Yes,3+,Graduate,No,81354,19212,1852206,300,1,Rural,Sedan,2351579,Y
Male,Yes,3+,Not Graduate,No,61374,35618,1444740,180,1,Urban,Truck,2563356,Y
Female,Yes,1,Graduate,Yes,40116,46067,2402716,300,1,Rural,SUV,1546072,Y
Male,No,3+,Not Graduate,No,91029,10698,1660038,360,1,Semiurban,Truck,1174502,Y
Male,No,2,Not Graduate,No,30447,4594,1696311,60,1,Semiurban,Hatchback,3408688,Y
Male,No,0,Not Graduate,Yes,40431,25525,2428084,300,1,Urban,Sedan,2605777,Y
Male,No,0,Not Graduate,Yes,27908,14282,749737,360,1,Semiurban,Sedan,1849919,Y
Female,Yes,0,Not Graduate,No,39336,49053,642157,60,1,Rural,Sedan,909142,Y
Male,Yes,1,Graduate,Yes,50992,14334,1900465,60,1,Urban,Van,2890514,Y
Male,Yes,3+,Not Graduate,No,65350,29179,2787319,300,1,Urban,Hatchback,2248408,N
Male,No,2,Graduate,No,79561,6644,1093805,60,0,Rural,SUV,2951212,N
Female,Yes,3+,Graduate,Yes,61955,35618,2225089,120,0,Urban,SUV,1671758,N
Female,No,3+,Not Graduate,Yes,71240,47701,1684895,60,1,Urban,Sedan,1581781,Y
